Feature,Importance
categorical__City_Orlando,5.27798376943227e-06
categorical__City_Covington,5.2409545283662135e-06
categorical__City_Vineland,5.214016259079352e-06
categorical__City_Mentor,4.953303333693563e-06
categorical__City_Wilson,4.817466733488601e-06
categorical__City_Murray,4.622903066453246e-06
categorical__City_Helena,4.420131976563885e-06
categorical__City_Arvada,4.393825406684714e-06
categorical__City_Thousand Oaks,4.392551729357544e-06
categorical__City_East Point,4.0984803716423016e-06
categorical__City_Dearborn,3.9405437301570905e-06
categorical__City_Haltom City,3.923640008950654e-06
categorical__City_Palm Coast,3.923401145902339e-06
categorical__City_Cambridge,3.8669363070181535e-06
categorical__City_North Charleston,3.7454607614979417e-06
categorical__City_Champaign,3.7089573352518575e-06
categorical__City_Pine Bluff,3.468845401636633e-06
categorical__City_Daytona Beach,3.4354031408716097e-06
categorical__City_Warner Robins,3.425355372595997e-06
categorical__City_Cary,3.410488991971451e-06
categorical__City_Draper,3.378282801808278e-06
categorical__City_Kirkwood,3.371844692661684e-06
categorical__City_West Allis,3.349025840817716e-06
categorical__City_Redding,3.069257937965943e-06
categorical__City_Cedar Hill,2.9360541488061397e-06
categorical__City_New Castle,2.9114681053777917e-06
categorical__City_Allentown,2.879111251082693e-06
categorical__City_Moorhead,2.7808474945589107e-06
categorical__City_Rockville,2.6938320933884046e-06
categorical__City_West Jordan,2.5988238107411443e-06
categorical__City_Meridian,2.5898454991509944e-06
categorical__City_Marysville,2.40523080448539e-06
categorical__City_Citrus Heights,2.3422524859270372e-06
categorical__City_San Bernardino,2.3236045903701212e-06
categorical__City_Allen,2.2851434878121e-06
categorical__City_Santa Maria,2.231758545805032e-06
categorical__City_Pico Rivera,2.2135171052095053e-06
categorical__City_Lincoln Park,2.1987276246732185e-06
categorical__City_Macon,2.1899713062898078e-06
categorical__City_Hot Springs,2.1738225488263123e-06
categorical__City_Coral Gables,2.115323301689168e-06
categorical__City_Deltona,2.1139233295879137e-06
categorical__City_Boise,2.0869262233071373e-06
categorical__City_Clarksville,2.0323636759766216e-06
categorical__City_West Palm Beach,1.8206129488316046e-06
categorical__City_Bolingbrook,1.8170592971062778e-06
categorical__City_Port Saint Lucie,1.6963610226562754e-06
categorical__City_Saginaw,1.6737817337488045e-06
categorical__City_Rancho Cucamonga,1.6584200552069355e-06
categorical__City_Andover,1.6395217142563508e-06
categorical__City_Santa Clara,1.6001196492628375e-06
categorical__City_Littleton,1.5550206938345855e-06
categorical__City_Pompano Beach,1.5327644798344718e-06
categorical__City_The Colony,1.5281837721518792e-06
categorical__City_Cedar Rapids,1.5281335287364853e-06
categorical__City_Cottage Grove,1.446542184170058e-06
categorical__City_Holland,1.4376939472348263e-06
categorical__City_Laguna Niguel,1.4019984979818662e-06
categorical__City_Goldsboro,1.3984549942790118e-06
categorical__City_Sheboygan,1.3547154031804134e-06
categorical__City_Meriden,1.2526000461117123e-06
categorical__City_Caldwell,1.2466403341720346e-06
categorical__City_Coral Springs,1.2295662531241974e-06
